Kanak Wire Scre,15,NULL,NULL,NULL
Kapil Traders,15,NULL,NULL,NULL
Keshab Enterpri,15,NULL,NULL,NULL
Knack Graphics,15,NULL,NULL,NULL
Knack Packaging,15,NULL,NULL,NULL
Knack Packaging,15,NULL,NULL,NULL
Kolkata Trading,15,NULL,NULL,NULL
Krishna Polymer,15,NULL,NULL,NULL
Kumar Electric ,15,NULL,NULL,NULL
Kumar Eletric &,15,NULL,NULL,NULL
Kumar Mill Stor,15,NULL,NULL,NULL
Lara Sales,15,NULL,NULL,NULL
Maa Vaishnodevi,15,NULL,NULL,NULL
Macshe Equipmen,15,NULL,NULL,NULL
Malde Capacitor,15,NULL,NULL,NULL
Malde Capacitor,15,NULL,NULL,NULL
Maxwatt Turbine,15,NULL,NULL,NULL
Milltech Machin,15,NULL,NULL,NULL
Mittal Traders,15,NULL,NULL,NULL
Mysore Drier Te,15,NULL,NULL,NULL
Nab Bharat Ente,15,NULL,NULL,NULL
Nab Bharat Entp,15,NULL,NULL,NULL
Nanagaram Agarw,15,NULL,NULL,NULL
New Vishwakarma,15,NULL,NULL,NULL
NM Electricals ,15,NULL,NULL,NULL
Nuziveedu Seeds,15,NULL,NULL,NULL
Orange Sorting ,15,NULL,NULL,NULL
Parakashtha Tec,15,NULL,NULL,NULL
Parakashtha Tec,0,NULL,NULL,NULL
Parkman Elastom,15,NULL,NULL,NULL
Pasari Paints,15,NULL,NULL,NULL
Pasko Engineeri,15,NULL,NULL,NULL
Poonam Computer,15,NULL,NULL,NULL
Power Concept,15,NULL,NULL,NULL
Prakash Electri,15,NULL,NULL,NULL
Pressurejet Sys,15,NULL,NULL,NULL
Project Sales C,15,NULL,NULL,NULL
Rajesh Enterpri,15,NULL,NULL,NULL
Ralin Polymers ,15,NULL,NULL,NULL
Rippen Radiator,15,NULL,NULL,NULL
R K M Engineeri,15,NULL,NULL,NULL
R. K. Traders,15,NULL,NULL,NULL
R. M. Associate,15,NULL,NULL,NULL
Roshni Motors,15,NULL,NULL,NULL
R. R. Enterpris,15,NULL,NULL,NULL
Ruchi Packers,15,NULL,NULL,NULL
